Subscript,Name,Full Name,Symbol,Category
mean,Mean,annual mean flow,$Q_{mean}$,Basic
median,Median,annual median flow,$Q_{median}$,Basic
std,STD,standard deviation of annual daily flows,$Q_{std}$,Basic
skew,Skewness,skewness of annual daily flow,$Q_{skew}$,Basic
range,Range,annual flow range,$Q_{range}$,Basic
5p,5th Percentile,5th percentile annual flow,$Q_{5p}$,Low Flow
10p,10th Percentile,10th percentile annual flow,$Q_{10p}$,Low Flow
25p,25th Percentile,25th percentile annual flow,$Q_{25p}$,Low Flow
75p,75th Percentile,75th percentile annual flow,$Q_{75p}$,High Flow
90p,90th Percentile,90th percentile annual flow,$Q_{90p}$,High Flow
95p,95th Percentile,95th percentile annual flow,$Q_{95p}$,High Flow
min,Min,annual minimum flow,$Q_{min}$,Low Flow
min3d,3d Min Flow,3-day minimum flow,$Q_{min3d}$,Low Flow
min7d,7d Min Flow,7-day minimum flow,$Q_{min7d}$,Low Flow
min14d,14d Min Flow,14-day minimum flow,$Q_{min14d}$,Low Flow
min30d,30d Min Flow,30-day minimum flow,$Q_{min30d}$,Low Flow
min90d,90d Min Flow,90-day minimum flow,$Q_{min90d}$,Low Flow
low_count,# Low Flow Events,number of low flow events,$N_{low}$,Low Flow
low_dur,Duration of Low Flow,duration of low flow,$D_{low}$,Low Flow
max,Max Flow,annual maximum flow,$Q_{max}$,High Flow
max3d,3d Max Flow,3-day maximum flow,$Q_{max3d}$,High Flow
max7d,7d Max Flow,7-day maximum flow,$Q_{max7d}$,High Flow
max14d,14d Max Flow,14-day maximum flow,$Q_{max14d}$,High Flow
max30d,30d Max Flow,30-day maximum flow,$Q_{max30d}$,High Flow
max90d,90d Max Flow,90-day maximum flow,$Q_{max90d}$,High Flow
high_count,# High Flow Events,number of high flow events,$N_{high}$,High Flow
high_dur,Duration of High Flow,duration of high flow,$D_{high}$,High Flow
rising,Positive Gradient,average positive gradient,$G_{pos}$,Change
falling,Negative Gradient,average negative gradient,$G_{neg}$,Change
change,Gradient,average gradient,$G_{avg}$,Change
change_3d,3d Gradient,average 3-day gradient,$G_{avg3d}$,Change
n_revs,Number of Reverses,number of reverse,$N_{rev}$,Change
n_rlimb,# Rising Limbs,number of rising limbs,$N_{rlimb}$,Change
n_flimb,# Falling Limbs,number of falling limbs,$N_{flimb}$,Change
rlimb_slp,Slope of Rising Limbs,average slope of rising limbs,$G_{rlimb}$,Change
flimb_slp,Slope of Falling Limbs,average slope of falling limbs,$G_{flimb}$,Change
jan,January,January flow,$Q_{jan}$,Monthly
feb,Febuary,February flow,$Q_{feb}$,Monthly
mar,March,March flow ,$Q_{mar}$,Monthly
apr,April,April flow,$Q_{apr}$,Monthly
may,May,May flow,$Q_{may}$,Monthly
jun,June,June flow,$Q_{jun}$,Monthly
jul,July,July flow,$Q_{jul}$,Monthly
aug,August,August flow,$Q_{aug}$,Monthly
sep,September,September flow,$Q_{sep}$,Monthly
oct,October,October flow,$Q_{oct}$,Monthly
nov,November,November flow,$Q_{nov}$,Monthly
dec,December,December flow,$Q_{dec}$,Monthly
jan_p,Jan (%),January fractional flow,$F_{jan}$,Monthly
feb_p,Feb (%),February fractional flow,$F_{feb}$,Monthly
mar_p,Mar (%),March fractional flow,$F_{mar}$,Monthly
apr_p,Apr (%),April fractional flow,$F_{apr}$,Monthly
may_p,May (%),May fractional flow,$F_{may}$,Monthly
jun_p,Jun (%),June fractional flow,$F_{jun}$,Monthly
jul_p,Jul (%),July fractional flow,$F_{jul}$,Monthly
aug_p,Aug (%),August fractional flow,$F_{aug}$,Monthly
sep_p,Sep (%),September fractional flow,$F_{sep}$,Monthly
oct_p,Oct (%),October fractional flow,$F_{oct}$,Monthly
nov_p,Nov (%),November fractional flow,$F_{nov}$,Monthly
dec_p,Dec (%),December fractional flow,$F_{dec}$,Monthly
max_jd,Day of Max,day of maximum flow,$T_{max}$,Timing
max3d_jd,Day of 3d Max,day of 3-day maximum flow,$T_{max3d}$,Timing
max7d_jd,Day of 7d Max,day of 7-day maximum flow,$T_{max7d}$,Timing
max14d_jd,Day of 14d Max,day of 14-day maximum flow,$T_{max14d}$,Timing
min_jd,Day of Min,day of minimum flow,$T_{min}$,Timing
min3d_jd,Day of 3d Min,day of 3-day minimum flow,$T_{min3d}$,Timing
min7d_jd,Day of 7d Min,day of 7-day minimum flow,$T_{min7d}$,Timing
min14d_jd,Day of 14d Min,day of 14-day minimum flow,$T_{min14d}$,Timing
cen_jd,Day of Centroid,day of centroid of flow mass,$T_{cen}$,Timing
25p_jd,Day of 25th Perc,day of 25th percentile,$T_{25p}$,Timing
50p_jd,Day of 50th Perc,day of 50th percentile,$T_{50p}$,Timing
75p_jd,Day of 75th Perc,day of 75th percentile,$T_{75p}$,Timing
si,Seasonal Index,seasonal index,$SI$,
cv,Coefficient of Variance,coefficient of variation under 11-year window,$CV_{Q}$,
spr,Spring (MAM),spring flow (Mar-May),$Q_{spr}$,
spr_p,Spring (%),spring fractional flow,$F_{spr}$,
smr,Summer (JJA),summer flow (Jun-Aug),$Q_{smr}$,
smr_p,Summer (%),summer fractional flow,$F_{smr}$,
aut,Autumn (SON),autumn flow (Sep-Nov),$Q_{aut}$,
aut_p,Autumn (%),autumn fractional flow,$F_{aut}$,
win,Winter (DJF),winter flow (Dec-Feb),$Q_{win}$,
win_p,Winter (%),winter fractional flow,$F_{win}$,
smr2,Late Summer (JAS),late summer flow (Jul-Sep),$Q_{lsmr}$,
smr2_p,Late Summer (%),late summer fractional flow,$F_{lsmr}$,
aut2,Short Autumn (ON),short autumn flow (Oct-Nov),,
aut2_p,Short Autumn (%),short autumn fractional flow,,
cold,Cold Season (O-A),cold season flow (Oct-Apr),$Q_{cold}$,
cold_p,Cold Season (%),cold season fractional flow,$F_{cold}$,
cold2,Long Cold Season (S-M),long cold season flow (Sep-May),,
cold2_p,Long Cold Season (%),long cold season fractional flow,,
spr_onset_jd,Day of Spring Freshet Onset,Day of 14-Day Onset in Spring (Feb-Jun),$T_{spronset}$,
spr_max14d_jd,Day of Spring Freshet Peak,Day of 14-Day  Max in Spring (Feb-Jun),$T_{sprmax}$,
annual_precip,Annual Precip,,,
march_precip,Mar Precip,March Precip,,
autumn_precip,Autumn Precip,Autumn Precip (Oct-Nov),,
summer_precip,Summer Precip,Summer Precip (July-August),,
winter_snowfall,Winter Snow,Winter Snowfall (Oct-May),,
melt_date_7d,Melting Date,Day of First 7-Day Consecutive Positive Temp,$T_{7d>0}$,
melt_date_10d,Melting Date,Day of First 10-Day Consecutive Positive Temp,$T_{10d>0}$,
melt_date_14d,Melting Date,Day of First 14-Day Consecutive Positive Temp,$T_{14d>0}$,
